Apellido,Personas,Porcentaje
ARTOLA,94,0.01
FEOLI,94,0.01
PICHARDO,93,0.01
TERCERO,93,0.01
LARIOS,93,0.01
ROSS,93,0.01
HUANG,93,0.01
BONICHE,92,0.01
LAZARO,92,0.01
PATIÑO,92,0.01
CARDONA,92,0.01
LINDO,92,0.01
YOUNG,92,0.01
BOGARIN,91,0.01
ORDEÑANA,91,0.01
STELLER,90,0.01
ARAICA,90,0.01
VELEZ,90,0.01
RECIO,89,0.01
ESCAMILLA,89,0.01
VILLA,89,0.01
PASTRANA,88,0.01
STEWART,88,0.01
SOTELO,88,0.01
PALAVICINI,88,0.01
VALDES,87,0.01
VIDAL,87,0.01
GORDON,87,0.01
PRIETO,87,0.01
CONDEGA,87,0.01
LAGUNA,87,0.01
URTECHO,87,0.01
HUETE,87,0.01
VALENZUELA,87,0.01
BOLANDI,87,0.01
MATHIEU,87,0.01
SALGUERA,86,0.01
MEMBREÑO,86,0.01
PASOS,86,0.01
AVELLAN,86,0.01
ALAN,86,0.01
PARDO,86,0.01
MALTEZ,85,0.01
PORTILLO,84,0.01
TOSSO,84,0.01
TELLES,83,0.01
JINESTA,83,0.01
VOLIO,83,0.01
DONATO,83,0.01
REID,82,0.01
GARNIER,82,0.01
OLSEN,82,0.01
KEITH,82,0.01
BALDI,81,0.01
JARAMILLO,81,0.01
POTOY,80,0.01
SCHMIDT,80,0.01
JEREZ,80,0.01
VENTURA,80,0.01
PERLAZA,80,0.01
ELLIS,79,0.01
JACAMO,79,0.01
CACERES,79,0.01
CARMIOL,79,0.01
ZHENG,79,0.01
VILLAR,79,0.01
MALESPIN,78,0.01
WHITE,78,0.01
CLARK,78,0.01
MONTERROSA,78,0.01
BACA,78,0.01
MUSSIO,78,0.01
DAVIS,77,0.01
POLTRONIERI,77,0.01
SALVATIERRA,76,0.01
URIARTE,76,0.01
ALGUERA,76,0.01
KELLY,76,0.01
COOPER,76,0.01
SOBRADO,76,0.01
BARTELS,76,0.01
PANA,76,0.01
CARCACHE,76,0.01
ROQUE,75,0.01
CLARKE,75,0.01
PESSOA,75,0.01
ALARCON,74,0.01
DESANTI,74,0.01
CHENG,74,0.01
RANGEL,73,0.01
FRANCIS,73,0.01
GALVEZ,73,0.01
ROVIRA,73,0.01
COLOMER,73,0.01
MAINIERI,73,0.01
ROA,72,0.01
POLANCO,72,0.01
ROSAS,72,0.01
GRILLO,72,0.01
NG,72,0.01
DE LA CRUZ,72,0.01
MOSCOSO,71,0.01
MILLER,71,0.01
HENRY,71,0.01
MATUS,71,0.01
BRUNO,71,0.01
POCHET,71,0.01
UVA,70,0.01
ANDERSON,70,0.01
ALMANZA,70,0.01
TOLEDO,70,0.01
MOSCOA,70,0.01
SAUREZ,70,0.01
VALDELOMAR,69,0.01
ZAVALA,69,0.01
QUIROZ,69,0.01
GRANJA,69,0.01
RESTREPO,69,0.01
ANTILLON,69,0.01
ALCOCER,68,0.01
GATGENS,68,0.01
GAZO,68,0.01
BORGES,68,0.01
ALI,68,0.01
CALDERA,68,0.01
TROYO,68,0.01
OTOYA,67,0.01
OCHOA,67,0.01
ABRAHAMS,67,0.01
GADEA,67,0.01
HERRERO,67,0.01
ASCH,67,0.01
RODA,66,0.01
VAZQUEZ,66,0.01
IGLESIAS,65,0.01
GORGONA,65,0.01
MALTES,65,0.01
STERLING,65,0.01
RAYO,65,0.01
CUEVAS,65,0.01
LEMAITRE,65,0.01
MERINO,65,0.01
WANG,65,0.01
APU,64,0.01
VALDEZ,64,0.01
ECHAVARRIA,64,0.01
BALDIZON,64,0.01
TABASH,64,0.01
LANZONI,64,0.01
MC KENZIE,63,0.01
MC DONALD,63,0.01
BELTRAN,63,0.01
YGLESIAS,63,0.01
LIANG,63,0.01
URROZ,63,0.01
BRADE,63,0.01
QUIEL,62,0.01
GRANDA,62,0.01
VILLACHICA,62,0.01
TREMINIO,62,0.01
OJEDA,62,0.01
FUNES,62,0.01
MENJIVAR,62,0.01
SERAVALLI,62,0.01
INCERA,62,0.01
BUZANO,61,0.01
LOZANO,61,0.01
UMANZOR,61,0.01
TERAN,61,0.01
LIU,61,0.01
MAY,61,0.01
BRAN,60,0.01
PALACIO,60,0.01
FOSTER,60,0.01
VILLANEA,60,0.01
LUGO,60,0.01
QUEVEDO,60,0.01
LAGOS,59,0.01
BENITEZ,59,0.01
PARIS,59,0.01
JOHANNING,59,0.01
BEECHE,59,0.01
GOYENAGA,59,0.01
CORDONERO,58,0.01
JAMES,58,0.01
ROSTRAN,58,0.01
OBALDIA,58,0.01
ORLICH,58,0.01
HAUG,58,0.01
PIÑAR,57,0.00
LANZA,57,0.00
COLE,57,0.00
BARBERENA,57,0.00
VALDERRAMA,57,0.00
URRUTIA,57,0.00
NIÑO,57,0.00
PROTTI,57,0.00
UNFRIED,57,0.00
AYALES,57,0.00
GOICOECHEA,57,0.00
FLETES,56,0.00
NELSON,56,0.00
ARGUETA,56,0.00
MONTERREY,56,0.00
GAYLE,56,0.00
RUBIO,56,0.00
OTERO,56,0.00
MARROQUIN,56,0.00
GOLCHER,56,0.00
SOLEY,56,0.00
LAFUENTE,56,0.00
BARRENECHEA,56,0.00
ALDECOBA,56,0.00
BENAMBURG,56,0.00
BREALEY,56,0.00
SIMPSON,55,0.00
DE LEON,55,0.00
MARTEN,55,0.00
BARZUNA,55,0.00
JAIME,54,0.00
HINES,54,0.00
SOMARRIBA,54,0.00
ROSABAL,54,0.00
HOWELL,54,0.00
MONTANARO,54,0.00
ALBERTAZZI,54,0.00
OLMOS,53,0.00
ESPINOSA,53,0.00
MUÑIZ,53,0.00
SING,53,0.00
LOGAN,53,0.00
CANET,53,0.00
CARBONI,53,0.00
CARIT,53,0.00
DORMOND,52,0.00
CUNNINGHAM,52,0.00
LOAISIGA,52,0.00
BARTH,52,0.00
BAGNARELLO,52,0.00
BUITRAGO,51,0.00
CANTON,51,0.00
SERRACIN,51,0.00
CRAWFORD,51,0.00
LAWRENCE,51,0.00
QUIÑONES,51,0.00
GONZALO,51,0.00
FUMERO,51,0.00
SOTOMAYOR,51,0.00
HARLEY,51,0.00
POZUELO,51,0.00
CAVERO,51,0.00
PERERA,50,0.00
ARTEAGA,50,0.00
BERNAL,50,0.00
GAIRAUD,50,0.00
TRISTAN,50,0.00
APESTEGUI,50,0.00
BALMA,50,0.00
ARREDONDO,49,0.00
SEGNINI,49,0.00
LIRA,49,0.00
ALANIS,49,0.00
TELLO,49,0.00
ABELLAN,49,0.00
ZAMBRANO,49,0.00
BECKFORD,49,0.00
CARDOZA,49,0.00
HUEZO,49,0.00
GUELL,49,0.00
ARAUJO,49,0.00
ARANGO,49,0.00
RAUDES,49,0.00
JAIKEL,49,0.00
VIETO,49,0.00
TELLERIA,49,0.00
RIMOLA,49,0.00
LAITANO,49,0.00
VILA,49,0.00
MARADIAGA,48,0.00
ARGUIJO,48,0.00
BARILLAS,48,0.00
PAREDES,48,0.00
CARRASCO,48,0.00
LEVY,48,0.00
BAUDRIT,48,0.00
WEBER,48,0.00
BENAMBUR,48,0.00
MACAYA,48,0.00
FORBES,47,0.00
ARROLIGA,47,0.00
MORRIS,47,0.00
DARCIA,47,0.00
UJUETA,47,0.00
MARIÑO,47,0.00
LUTZ,47,0.00
RIMOLO,47,0.00
VAN DER LAAT,47,0.00
VALDERRAMOS,46,0.00
GRAJAL,46,0.00
BELL,46,0.00
FARRIER,46,0.00
SILESKY,46,0.00
MALDONADO,46,0.00
NOEL,46,0.00
TAMAYO,46,0.00
VINCENTI,46,0.00
SEGREDA,46,0.00
BLANDO,46,0.00
PIZA,46,0.00
SEDO,46,0.00
CERNA,45,0.00
LANUZA,45,0.00
PATTERSON,45,0.00
REINA,45,0.00
FUERTES,45,0.00
CRESPO,45,0.00
TORRENTE,45,0.00
NASSAR,45,0.00
GOLFIN,45,0.00
LORENZO,45,0.00
COB,45,0.00
UBILLA,45,0.00
GUDIÑO,45,0.00
TORTOS,44,0.00
GIRALDO,44,0.00
STEINVORTH,44,0.00
VICENTE,44,0.00
TANG,44,0.00
DUARTES,43,0.00
OPORTO,43,0.00
CHEVES,43,0.00
GATJENS,43,0.00
EVANS,43,0.00
BALDELOMAR,43,0.00
