Apellido,Personas,Porcentaje
PRIETO,24,0.01
ANDERSON,24,0.01
MORAN,24,0.01
MARTIN,24,0.01
BEDOYA,24,0.01
MATUS,24,0.01
ROSS,24,0.01
DE LEON,24,0.01
PROTTI,24,0.01
PORTOCARRERO,24,0.01
SELVA,23,0.01
CHARPENTIER,23,0.01
MEMBREÑO,23,0.01
PAZ,23,0.01
EDWARDS,23,0.01
OTOYA,23,0.01
FENG,23,0.01
HUETE,23,0.01
ALMANZA,23,0.01
OJEDA,23,0.01
GAZEL,23,0.01
OLSEN,23,0.01
PERERA,23,0.01
BRUNO,23,0.01
CRESPO,23,0.01
LAZARO,22,0.01
VALLECILLO,22,0.01
GATGENS,22,0.01
IGLESIAS,22,0.01
MILLER,22,0.01
CARDONA,22,0.01
MORUN,22,0.01
FUNES,22,0.01
MORRIS,22,0.01
ROSTRAN,22,0.01
ABREGO,22,0.01
QUINTANA,21,0.01
MORGAN,21,0.01
CAJINA,21,0.01
CERDA,21,0.01
SARAVIA,21,0.01
LARGAESPADA,21,0.01
SALVATIERRA,21,0.01
SAGOT,21,0.01
MATUTE,21,0.01
GIRALDO,21,0.01
SAMUDIO,20,0.01
CHANG,20,0.01
MORUA,20,0.01
SABALLOS,20,0.01
RECIO,20,0.01
VELAZQUEZ,20,0.01
SAMUELS,20,0.01
BUITRAGO,20,0.01
TOLEDO,20,0.01
ABELLAN,20,0.01
YOUNG,20,0.01
GALVEZ,20,0.01
MARADIAGA,20,0.01
ECHAVARRIA,20,0.01
LIN,20,0.01
NOVO,20,0.01
ROBERT,20,0.01
BARTELS,20,0.01
VILLA,20,0.01
UNFRIED,20,0.01
VILLAVICENCIO,19,0.01
APARICIO,19,0.01
BONICHE,19,0.01
WRIGHT,19,0.01
GORDON,19,0.01
PINTO,19,0.01
GUARDIA,19,0.01
URIBE,19,0.01
SOTELO,19,0.01
GURDIAN,19,0.01
BERNARD,19,0.01
TORTOS,19,0.01
RESTREPO,19,0.01
GONZALO,19,0.01
LATINO,19,0.01
FUERTES,19,0.01
TURCIOS,19,0.01
GIRON,19,0.01
MOSCOA,19,0.01
ARANGO,19,0.01
TOVAR,19,0.01
ÑURINDA,19,0.01
PRAVIA,19,0.01
BERNINI,19,0.01
TAMES,18,0.01
MOSQUERA,18,0.01
CASARES,18,0.01
DUARTES,18,0.01
FRANCIS,18,0.01
PALACIO,18,0.01
ACON,18,0.01
CERNA,18,0.01
BATRES,18,0.01
PASTOR,18,0.01
GRILLO,18,0.01
URRUTIA,18,0.01
PAREDES,18,0.01
GALAN,18,0.01
RAMON,18,0.01
ROSELLO,18,0.01
GUILA,18,0.01
ILAMA,17,0.00
SOTELA,17,0.00
MOSCOSO,17,0.00
DIXON,17,0.00
POMARES,17,0.00
JINESTA,17,0.00
ALARCON,17,0.00
HENRY,17,0.00
WHITE,17,0.00
CLARKE,17,0.00
LIRA,17,0.00
POLANCO,17,0.00
BALDELOMAR,17,0.00
PATTERSON,17,0.00
ZHENG,17,0.00
MENJIVAR,17,0.00
QUIÑONES,17,0.00
SOBALVARRO,17,0.00
VERA,17,0.00
TABORDA,17,0.00
SORTO,17,0.00
SALICETTI,17,0.00
ATENCIO,16,0.00
BUZANO,16,0.00
PIÑAR,16,0.00
HALL,16,0.00
MENOCAL,16,0.00
URTECHO,16,0.00
ERAS,16,0.00
DELGADILLO,16,0.00
NELSON,16,0.00
MALTES,16,0.00
ALAN,16,0.00
STERLING,16,0.00
SOBALBARRO,16,0.00
KELLY,16,0.00
ROBLERO,16,0.00
MONTERROSA,16,0.00
JARAMILLO,16,0.00
CISNERO,16,0.00
CUEVAS,16,0.00
JOHANNING,16,0.00
RODAS,16,0.00
VERGARA,16,0.00
LEMUS,16,0.00
FORERO,16,0.00
EZETA,16,0.00
ROTHE,16,0.00
BARROETA,16,0.00
RICHMOND,15,0.00
BOJORGE,15,0.00
IRIAS,15,0.00
QUIEL,15,0.00
ARREDONDO,15,0.00
CAÑAS,15,0.00
ESCAMILLA,15,0.00
OCON,15,0.00
MYRIE,15,0.00
GALLEGOS,15,0.00
MC DONALD,15,0.00
MITCHELL,15,0.00
GALARZA,15,0.00
ABADIA,15,0.00
MILANES,15,0.00
MALDONADO,15,0.00
YGLESIAS,15,0.00
MUSSIO,15,0.00
LEFEBRE,15,0.00
STEINVORTH,15,0.00
ESPINAL,15,0.00
FONT,15,0.00
RUPHUY,15,0.00
VILLAFRANCO,15,0.00
ARBUROLA,14,0.00
CONDEGA,14,0.00
ARRIOLA,14,0.00
FLETES,14,0.00
OPORTO,14,0.00
MORICE,14,0.00
BALLADARES,14,0.00
SIMPSON,14,0.00
CANTON,14,0.00
ALGUERA,14,0.00
ROVIRA,14,0.00
ZAMBRANO,14,0.00
MONTES DE OCA,14,0.00
PALOMO,14,0.00
BELTRAN,14,0.00
ABRAHAMS,14,0.00
PRADA,14,0.00
QUIROZ,14,0.00
BACA,14,0.00
SOBRADO,14,0.00
CID,14,0.00
OQUENDO,14,0.00
WANG,14,0.00
NOEL,14,0.00
TABASH,14,0.00
HERRERO,14,0.00
PINZON,14,0.00
ANDINO,14,0.00
ALVARENGA,14,0.00
SAUREZ,14,0.00
MAINIERI,14,0.00
BAKER,14,0.00
LEVY,14,0.00
GUARDADO,14,0.00
GOYENAGA,14,0.00
SALABLANCA,14,0.00
LAO,14,0.00
DUQUE,14,0.00
TORO,14,0.00
CASTAÑO,14,0.00
MAGAÑA,14,0.00
KIM,14,0.00
IBAÑEZ,14,0.00
SANTIAGO,14,0.00
HILBERT,14,0.00
CUTHBERT,14,0.00
DUVAL,14,0.00
HOO,14,0.00
CARRERA,13,0.00
GAZO,13,0.00
WALKER,13,0.00
CORDONERO,13,0.00
MALESPIN,13,0.00
URIARTE,13,0.00
ESPINOSA,13,0.00
BENNETT,13,0.00
OLIVAR,13,0.00
ORDEÑANA,13,0.00
INFANTE,13,0.00
JEREZ,13,0.00
ADAMS,13,0.00
KOPPER,13,0.00
BENITEZ,13,0.00
CASCO,13,0.00
PINNOCK,13,0.00
CUNNINGHAM,13,0.00
VAZQUEZ,13,0.00
FEOLI,13,0.00
VIGIL,13,0.00
CASERES,13,0.00
ARAUJO,13,0.00
ALANIZ,13,0.00
PALADINO,13,0.00
LAM,13,0.00
MARIÑO,13,0.00
SOSSA,13,0.00
ARMAS,13,0.00
MAFFIOLI,13,0.00
YANG,13,0.00
CASTELLANOS,13,0.00
CHAMBERLAIN,13,0.00
OSPINO,13,0.00
RINCON,13,0.00
LEVELL,13,0.00
MADRID,13,0.00
VILLAMIL,13,0.00
GALDAMEZ,13,0.00
PUENTES,13,0.00
CALIVA,13,0.00
AHRENS,13,0.00
JACAMO,12,0.00
TELLES,12,0.00
FORBES,12,0.00
MC KENZIE,12,0.00
RAYO,12,0.00
JAIME,12,0.00
MC LEAN,12,0.00
PICON,12,0.00
ADANIS,12,0.00
VALLES,12,0.00
VENTURA,12,0.00
NG,12,0.00
MUÑIZ,12,0.00
DE LA CRUZ,12,0.00
HUEZO,12,0.00
LOAISIGA,12,0.00
BALDIZON,12,0.00
SOMARRIBA,12,0.00
GRAHAM,12,0.00
CATON,12,0.00
ZAVALETA,12,0.00
DANIELS,12,0.00
DRUMMOND,12,0.00
ACHOY,12,0.00
RAUDES,12,0.00
ARENAS,12,0.00
ARCEYUT,12,0.00
PARKINSON,12,0.00
REQUENES,12,0.00
ESPELETA,12,0.00
SANCHUN,12,0.00
AMEY,12,0.00
GARMENDIA,12,0.00
LAI,12,0.00
FERLLINI,12,0.00
LUCONI,12,0.00
QUINTEROS,12,0.00
CASAL,12,0.00
SANAHUJA,12,0.00
SHADID,12,0.00
YANNARELLA,12,0.00
BOULAK,12,0.00
ALCOCER,11,0.00
PASOS,11,0.00
UVA,11,0.00
PASTRANA,11,0.00
ALMENGOR,11,0.00
CHEVES,11,0.00
PIMENTEL,11,0.00
BRYAN,11,0.00
GOÑI,11,0.00
BELL,11,0.00
IZAGUIRRE,11,0.00
DORMOND,11,0.00
ARGUIJO,11,0.00
VAGLIO,11,0.00
EVANS,11,0.00
VILLAPLANA,11,0.00
GARNIER,11,0.00
FOURNIER,11,0.00
MACOTELO,11,0.00
HUANG,11,0.00
MURRAY,11,0.00
LUGO,11,0.00
TERAN,11,0.00
UBAU,11,0.00
ASCH,11,0.00
PINO,11,0.00
SOLEY,11,0.00
BENDAÑA,11,0.00
BUCARDO,11,0.00
CANET,11,0.00
BAUTISTA,11,0.00
FRUTOS,11,0.00
BETANCUR,11,0.00
FARIÑAS,11,0.00
CASAS,11,0.00
HUGHES,11,0.00
MC QUIDDY,11,0.00
HASBUN,11,0.00
LASSO,11,0.00
AMERLING,11,0.00
COLON,11,0.00
BAIRES,11,0.00
DE BEDOUT,11,0.00
VALDIVIESO,11,0.00
VILLACHICA,10,0.00
LINDO,10,0.00
GARRIDO,10,0.00
DESANTI,10,0.00
SANARRUSIA,10,0.00
MATHIEU,10,0.00
GRANJA,10,0.00
SPENCER,10,0.00
HUDSON,10,0.00
PASTRANO,10,0.00
REYNOLDS,10,0.00
DONDI,10,0.00
GOULD,10,0.00
HARLEY,10,0.00
PAIZ,10,0.00
