Apellido,Personas,Porcentaje
CUETO,12,0.00
DONZO,12,0.00
NICUNDANO,12,0.00
KOOPER,12,0.00
LIAO,12,0.00
SABALA,12,0.00
MORUX,12,0.00
GERMAN,12,0.00
CHAVALA,12,0.00
DEBBE,12,0.00
MANFU,12,0.00
ROBINSON,11,0.00
QUIEL,11,0.00
GRANDA,11,0.00
REY,11,0.00
STERLING,11,0.00
BELLIDO,11,0.00
GALLEGOS,11,0.00
ABRAHAMS,11,0.00
HUANG,11,0.00
RESTREPO,11,0.00
BERNAL,11,0.00
TUCKER,11,0.00
CARDENAL,11,0.00
ALMANZOR,11,0.00
AGUIRRES,11,0.00
GOICOECHEA,11,0.00
UBILLA,11,0.00
FRUTOS,11,0.00
TOVAL,11,0.00
GROSS,11,0.00
RAUDEZ,11,0.00
AMUY,11,0.00
CASORLA,11,0.00
CANDA,11,0.00
FUNEZ,11,0.00
WARNER,11,0.00
NOBOA,11,0.00
FERRARO,11,0.00
LONGHI,11,0.00
SERNA,11,0.00
SOLARTE,11,0.00
CEDILLOS,11,0.00
BURGALIN,11,0.00
BARROT,11,0.00
BORQUET,11,0.00
RUZICKA,11,0.00
UBADO,11,0.00
DOUBLEDAY,11,0.00
PORQUET,11,0.00
SEINFARTH,11,0.00
TAMES,10,0.00
FRANCIS,10,0.00
ACON,10,0.00
STEWART,10,0.00
VIDAURRE,10,0.00
ECHAVARRIA,10,0.00
JAUBERT,10,0.00
OBALDIA,10,0.00
ARTEAGA,10,0.00
PAIZ,10,0.00
CEN,10,0.00
SHAW,10,0.00
BLANDO,10,0.00
BULGARELLI,10,0.00
TORIBIO,10,0.00
PARADA,10,0.00
RIBA,10,0.00
GRANERA,10,0.00
FARAH,10,0.00
AVILEZ,10,0.00
GALINDO,10,0.00
SANTANDER,10,0.00
LIPPI,10,0.00
VANEGA,10,0.00
CASTILLA,10,0.00
ALDANA,10,0.00
VELAZCO,10,0.00
ZONTA,10,0.00
PIÑAS,10,0.00
RUTT,10,0.00
GRIFFIN,10,0.00
SIMONI,10,0.00
KAUFFMANN,10,0.00
BOTRIS,10,0.00
BELFORT,10,0.00
VELAS,10,0.00
