Apellido,Personas,Porcentaje
BRAN,299,0.01
PATIÑO,299,0.01
GAZO,298,0.01
MENOCAL,298,0.01
VIZCAINO,298,0.01
BAÑEZ,297,0.01
FRANCIS,297,0.01
PASTRANA,295,0.01
FLETES,293,0.01
MORAN,293,0.01
IGLESIAS,292,0.01
URTECHO,291,0.01
ALONSO,289,0.01
MARTIN,289,0.01
LARIOS,288,0.01
PALACIO,288,0.01
GRAJAL,287,0.01
JACAMO,285,0.01
OTOYA,285,0.01
LANZA,284,0.01
OPORTO,283,0.01
ALMENGOR,281,0.01
ARREDONDO,281,0.01
ARAICA,278,0.01
MARQUEZ,278,0.01
SABALLOS,278,0.01
WALKER,274,0.01
SELLES,272,0.01
AREVALO,271,0.01
MORICE,270,0.01
GRANDA,269,0.01
RECIO,269,0.01
MILLER,266,0.01
CHEVES,264,0.01
GUARDIA,264,0.01
ERAS,262,0.01
LOZANO,262,0.01
ACON,261,0.01
CACERES,261,0.01
APUY,260,0.01
WEBB,260,0.01
AMORES,259,0.01
TORREZ,257,0.01
DEL VALLE,256,0.01
DELGADILLO,256,0.01
NELSON,255,0.01
LARGAESPADA,254,0.01
SALVATIERRA,254,0.01
VELAZQUEZ,254,0.01
REY,250,0.01
STEWART,249,0.01
BALLADARES,247,0.01
GORGONA,244,0.01
IROLA,244,0.01
POMARES,244,0.01
TELLES,244,0.01
JINESTA,243,0.01
CARDONA,241,0.01
GATJENS,241,0.01
FENG,239,0.01
QUIJANO,239,0.01
SEGNINI,239,0.01
DITTEL,237,0.01
FORBES,237,0.01
LUMBI,237,0.01
ZAVALA,237,0.01
MC KENZIE,235,0.01
FOSTER,234,0.01
PORTILLO,234,0.01
SAMUELS,234,0.01
HUETE,232,0.01
SALAMANCA,232,0.01
VILLAREVIA,231,0.01
ARTOLA,230,0.01
VELEZ,230,0.01
PIMENTEL,229,0.01
CAÑAS,228,0.01
ALARCON,227,0.01
ALMANZA,227,0.01
BRYAN,227,0.01
CORDONERO,227,0.01
GIL,225,0.01
MALESPIN,224,0.01
SIMPSON,224,0.01
AYMERICH,223,0.01
HENRY,223,0.01
WHITE,223,0.01
GOÑI,222,0.01
AYALA,221,0.01
BUITRAGO,220,0.01
CANTON,219,0.01
CERNA,219,0.01
SAGOT,219,0.01
ESCAMILLA,218,0.01
CLARK,217,0.01
CLARKE,217,0.01
MALTES,217,0.01
ARROLIGA,216,0.01
JAMES,216,0.01
TOLEDO,216,0.01
TALENO,214,0.01
FREER,213,0.01
LASCAREZ,213,0.01
LIRA,213,0.01
OLMOS,211,0.01
VILLACHICA,211,0.01
SIEZAR,209,0.01
BALMACEDA,208,0.01
LINDO,208,0.01
MORUN,208,0.01
URIBE,208,0.01
ALAN,207,0.01
OCON,207,0.01
STERLING,207,0.01
OCHOA,205,0.01
ARGUETA,204,0.01
VALENZUELA,203,0.01
SOBALBARRO,202,0.01
SIERRA,201,0.01
BELL,200,0.01
CAAMAÑO,200,0.01
BEDOYA,199,0.01
URIARTE,198,0.01
LAGOS,197,0.01
MATUS,197,0.01
SAUMA,197,0.01
TREMINIO,196,0.01
ALANIS,195,0.01
ESPINOSA,195,0.01
MYRIE,195,0.01
ALGUERA,194,0.01
SERRACIN,193,0.01
SOTELO,193,0.01
BENNETT,192,0.01
BOLANDI,192,0.01
COLE,192,0.01
SABALLO,192,0.01
JUNEZ,191,0.01
RAYO,191,0.01
TELLO,191,0.01
PAYAN,190,0.01
VILLANEA,190,0.01
ABELLAN,189,0.01
ARRONIS,189,0.01
BALDI,189,0.01
DIJERES,189,0.01
IZAGUIRRE,189,0.01
MONTERREY,188,0.01
OLIVAR,188,0.01
BARBERENA,187,0.01
MALTEZ,186,0.01
OJEDA,186,0.01
ROA,185,0.01
JAIME,184,0.01
YOUNG,184,0.01
LANUZA,183,0.01
GALVEZ,182,0.01
KELLY,182,0.01
ROVIRA,182,0.01
FAERRON,181,0.01
ZAMBRANO,180,0.01
FUNES,179,0.01
SCHMIDT,179,0.01
ACHIO,178,0.01
